time:100659, score:-174.000000, speed:-1.687177
time:101671, score:-176.000000, speed:-1.785714
time:102681, score:-179.000000, speed:-1.883239
time:103695, score:-181.000000, speed:-1.881002
time:104708, score:-184.000000, speed:-1.977848
time:105715, score:-184.000000, speed:-1.879327
time:106717, score:-187.000000, speed:-1.881188
time:107718, score:-189.000000, speed:-2.081681
time:108719, score:-192.000000, speed:-2.083540
time:109731, score:-194.000000, speed:-2.281293
time:110742, score:-196.000000, speed:-2.181890
time:111745, score:-197.000000, speed:-2.084574
time:112755, score:-197.000000, speed:-1.786955
time:113764, score:-198.000000, speed:-1.688350
time:114768, score:-200.000000, speed:-1.590615
time:115775, score:-201.000000, speed:-1.689861
time:116783, score:-203.000000, speed:-1.589509
time:117789, score:-206.000000, speed:-1.688015
time:118798, score:-208.000000, speed:-1.587617
time:119803, score:-211.000000, speed:-1.687847
time:120814, score:-213.000000, speed:-1.687847
time:121825, score:-215.000000, speed:-1.785537
time:122837, score:-216.000000, speed:-1.884360
time:123840, score:-215.000000, speed:-1.687177
time:124852, score:-217.000000, speed:-1.685672
time:125862, score:-219.000000, speed:-1.784475
time:126863, score:-219.000000, speed:-1.587302
time:127877, score:-217.000000, speed:-1.090404
time:128884, score:-218.000000, speed:-0.991375
time:129889, score:-219.000000, speed:-0.793179
time:130900, score:-222.000000, speed:-0.892326
time:131911, score:-224.000000, speed:-0.892414
time:132915, score:-227.000000, speed:-1.091486
time:133931, score:-228.000000, speed:-1.288404
time:134942, score:-231.000000, speed:-1.387650
time:135945, score:-233.000000, speed:-1.388476
time:136953, score:-233.000000, speed:-1.387512
time:137957, score:-236.000000, speed:-1.885108
time:138962, score:-238.000000, speed:-1.984521
time:139968, score:-240.000000, speed:-2.083540
time:140980, score:-241.000000, speed:-1.885108
time:141984, score:-244.000000, speed:-1.985506
time:142984, score:-244.000000, speed:-1.688350
time:143987, score:-245.000000, speed:-1.690365
time:144992, score:-247.000000, speed:-1.591881
time:146002, score:-249.000000, speed:-1.590932
time:147010, score:-250.000000, speed:-1.690365
time:148013, score:-252.000000, speed:-1.590932
time:149023, score:-255.000000, speed:-1.689861
time:150024, score:-255.000000, speed:-1.491647
time:151030, score:-256.000000, speed:-1.492389
time:152032, score:-258.000000, speed:-1.393173
time:153041, score:-261.000000, speed:-1.690365
time:154048, score:-261.000000, speed:-1.590457
time:155056, score:-264.000000, speed:-1.689357
time:156064, score:-266.000000, speed:-1.689693
time:157068, score:-269.000000, speed:-1.889044
time:158070, score:-271.000000, speed:-1.889231
time:159075, score:-273.000000, speed:-1.790510
time:160083, score:-274.000000, speed:-1.888856
time:161096, score:-274.000000, speed:-1.788376
time:162103, score:-277.000000, speed:-1.886605
time:163115, score:-279.000000, speed:-1.786778
time:164121, score:-282.000000, speed:-2.084574
time:165125, score:-284.000000, speed:-1.986097
time:166126, score:-286.000000, speed:-1.987479
time:167138, score:-289.000000, speed:-1.986097
time:168145, score:-291.000000, speed:-1.985112
time:169157, score:-293.000000, speed:-1.983930
time:170168, score:-294.000000, speed:-1.983143
time:171171, score:-297.000000, speed:-2.282652
time:172172, score:-299.000000, speed:-2.184924
time:173183, score:-302.000000, speed:-2.284466
time:174196, score:-302.000000, speed:-1.985112
time:175199, score:-305.000000, speed:-2.084781
time:176205, score:-307.000000, speed:-2.083540
time:177207, score:-310.000000, speed:-2.085816
time:178219, score:-312.000000, speed:-2.084574
time:179222, score:-312.000000, speed:-1.887542
time:180226, score:-315.000000, speed:-2.087890
time:181230, score:-315.000000, speed:-1.789442
time:182234, score:-316.000000, speed:-1.689693
time:183244, score:-316.000000, speed:-1.391512
time:184248, score:-319.000000, speed:-1.691374
time:185256, score:-321.000000, speed:-1.590774
time:186263, score:-324.000000, speed:-1.690197
time:187270, score:-324.000000, speed:-1.391097
time:188280, score:-322.000000, speed:-0.993937
time:189284, score:-323.000000, speed:-1.093222
time:190293, score:-325.000000, speed:-0.993345
time:191295, score:-328.000000, speed:-1.291605
time:192297, score:-330.000000, speed:-1.391097
time:193305, score:-331.000000, speed:-1.490905
time:194316, score:-331.000000, speed:-1.191777
time:195320, score:-333.000000, speed:-1.192369
time:196325, score:-334.000000, speed:-0.993838
time:197329, score:-337.000000, speed:-1.292375
time:198335, score:-339.000000, speed:-1.690869
time:199348, score:-342.000000, speed:-1.887917
time:200351, score:-342.000000, speed:-1.690197
time:201354, score:-345.000000, speed:-1.690029
time:202356, score:-345.000000, speed:-1.491202
time:203361, score:-346.000000, speed:-1.491647
time:204362, score:-348.000000, speed:-1.692216
time:205372, score:-350.000000, speed:-1.691206
time:206375, score:-351.000000, speed:-1.691542
time:207386, score:-353.000000, speed:-1.591090
time:208399, score:-356.000000, speed:-1.689189
time:209407, score:-356.000000, speed:-1.391927
time:210420, score:-359.000000, speed:-1.688518
time:211431, score:-359.000000, speed:-1.389302
time:212436, score:-362.000000, speed:-1.686508
time:213437, score:-362.000000, speed:-1.587932
time:214447, score:-364.000000, speed:-1.586515
time:215449, score:-365.000000, speed:-1.488538
time:216454, score:-367.000000, speed:-1.587459
time:217465, score:-370.000000, speed:-1.686675
time:218470, score:-370.000000, speed:-1.389992
time:219474, score:-373.000000, speed:-1.688686
time:220479, score:-373.000000, speed:-1.391788
time:221480, score:-376.000000, speed:-1.691711
time:222492, score:-376.000000, speed:-1.392342
time:223493, score:-376.000000, speed:-1.392342
time:224501, score:-377.000000, speed:-1.293146
time:225508, score:-380.000000, speed:-1.491202
time:226510, score:-380.000000, speed:-1.292761
time:227513, score:-382.000000, speed:-1.194149
time:228522, score:-385.000000, speed:-1.492240
time:229531, score:-387.000000, speed:-1.391927
time:230542, score:-390.000000, speed:-1.689189
time:231544, score:-392.000000, speed:-1.589983
time:232545, score:-394.000000, speed:-1.790332
time:233558, score:-395.000000, speed:-1.887730
time:234559, score:-397.000000, speed:-1.988269
time:235564, score:-400.000000, speed:-1.988862
time:236578, score:-402.000000, speed:-2.185141
time:237593, score:-405.000000, speed:-2.281746
time:238597, score:-405.000000, speed:-1.985112
time:239611, score:-405.000000, speed:-1.785714
time:240615, score:-404.000000, speed:-1.389854
time:241621, score:-407.000000, speed:-1.488391
time:242628, score:-409.000000, speed:-1.487652
time:243634, score:-409.000000, speed:-1.389302
time:244636, score:-412.000000, speed:-1.488686
time:245649, score:-412.000000, speed:-1.190004
time:246658, score:-415.000000, speed:-1.289683
time:247659, score:-417.000000, speed:-1.192132
time:248661, score:-419.000000, speed:-1.391097
time:249666, score:-420.000000, speed:-1.491944
time:250676, score:-423.000000, speed:-1.888480
time:251687, score:-425.000000, speed:-1.788198
time:252697, score:-428.000000, speed:-1.886980
time:253708, score:-426.000000, speed:-1.687512
time:254719, score:-428.000000, speed:-1.586829
time:255721, score:-425.000000, speed:-1.290579
time:256734, score:-427.000000, speed:-1.190949
time:257736, score:-430.000000, speed:-1.290066
time:258737, score:-432.000000, speed:-1.290195
time:259751, score:-432.000000, speed:-1.189886
time:260763, score:-434.000000, speed:-1.090513
time:261777, score:-435.000000, speed:-0.991179
time:262777, score:-437.000000, speed:-0.892857
time:263790, score:-434.000000, speed:-0.793572
time:264792, score:-436.000000, speed:-0.794202
time:265796, score:-437.000000, speed:-1.191067
time:267027, score:-437.000000, speed:-0.971534
time:268029, score:-439.000000, speed:-0.874381
time:269037, score:-438.000000, speed:-0.582524
time:270043, score:-438.000000, speed:-0.582920
time:271049, score:-439.000000, speed:-0.486098
time:272058, score:-442.000000, speed:-0.680868
time:273068, score:-444.000000, speed:-0.680272
time:274075, score:-445.000000, speed:-1.069519
time:275076, score:-447.000000, speed:-1.069519
time:276082, score:-447.000000, speed:-0.972195
time:277088, score:-448.000000, speed:-1.093331
time:278095, score:-446.000000, speed:-0.695410
time:279106, score:-447.000000, speed:-0.893833
time:280115, score:-449.000000, speed:-1.092137
time:281126, score:-452.000000, speed:-1.290066
time:282132, score:-454.000000, speed:-1.191067
time:283146, score:-454.000000, speed:-0.992162
time:284157, score:-457.000000, speed:-1.190240
time:285165, score:-455.000000, speed:-0.792943
time:286179, score:-457.000000, speed:-0.990393
time:287190, score:-460.000000, speed:-1.187884
time:288195, score:-462.000000, speed:-1.584315
time:289202, score:-464.000000, speed:-1.684002
time:290210, score:-466.000000, speed:-1.684169
time:291214, score:-468.000000, speed:-1.586043
time:292224, score:-470.000000, speed:-1.585571
time:293229, score:-471.000000, speed:-1.686006
time:294239, score:-471.000000, speed:-1.388476
time:295251, score:-472.000000, speed:-1.685505
time:296254, score:-472.000000, speed:-1.488834
time:297262, score:-473.000000, speed:-1.290835
time:298263, score:-475.000000, speed:-1.291091
time:299265, score:-477.000000, speed:-1.291861
time:300269, score:-479.000000, speed:-1.292247
time:301280, score:-480.000000, speed:-1.192132
time:302291, score:-483.000000, speed:-1.291220
time:303304, score:-485.000000, speed:-1.389578
time:304308, score:-488.000000, speed:-1.688350
time:305317, score:-490.000000, speed:-1.788376
time:306319, score:-493.000000, speed:-2.086645
time:307320, score:-495.000000, speed:-2.187096
time:308326, score:-498.000000, speed:-2.285601
time:309337, score:-500.000000, speed:-2.283558
time:310337, score:-502.000000, speed:-2.284466
time:311345, score:-504.000000, speed:-2.384501
time:312349, score:-507.000000, speed:-2.386160
time:313353, score:-509.000000, speed:-2.388297
time:314362, score:-511.000000, speed:-2.287647
time:315369, score:-514.000000, speed:-2.387585
time:316375, score:-516.000000, speed:-2.286964
time:317380, score:-518.000000, speed:-2.286282
time:318382, score:-521.000000, speed:-2.287192
time:319387, score:-523.000000, speed:-2.288557
time:320400, score:-526.000000, speed:-2.384975
time:321407, score:-528.000000, speed:-2.385449
time:322412, score:-531.000000, speed:-2.384975
time:323421, score:-533.000000, speed:-2.383790
time:324435, score:-535.000000, speed:-2.382607
time:325440, score:-537.000000, speed:-2.283558
time:326449, score:-539.000000, speed:-2.283332
time:327460, score:-542.000000, speed:-2.380952
time:328471, score:-544.000000, speed:-2.279937
time:329474, score:-546.000000, speed:-2.280163
time:330486, score:-548.000000, speed:-2.181241
time:331488, score:-551.000000, speed:-2.281520
time:332495, score:-553.000000, speed:-2.182107
time:333500, score:-555.000000, speed:-2.182756
time:334505, score:-557.000000, speed:-2.184707
time:335517, score:-559.000000, speed:-2.183189
time:336528, score:-562.000000, speed:-2.281746
time:337541, score:-564.000000, speed:-2.182323
time:338556, score:-566.000000, speed:-2.181241
time:339568, score:-568.000000, speed:-2.179297
time:340581, score:-570.000000, speed:-2.179297
time:341589, score:-572.000000, speed:-2.078796
